,name,continent,region
210,Turkmenistan,Asia,Southern and Central Asia
211,East Timor,Asia,Southeast Asia
212,Tonga,Oceania,Polynesia
213,Trinidad and Tobago,North America,Caribbean
214,Tunisia,Africa,Northern Africa
215,Turkey,Asia,Middle East
216,Tuvalu,Oceania,Polynesia
217,Taiwan,Asia,Eastern Asia
218,Tanzania,Africa,Eastern Africa
219,uganda,Africa,Eastern Africa
220,ukraine,Europe,Eastern Europe
221,united States Minor Outlying Islands,Oceania,Micronesia/Caribbean
222,uruguay,South America,South America
223,united States,North America,North America
224,uzbekistan,Asia,Southern and Central Asia
225,Holy See (Vatican City State),Europe,Southern Europe
226,Saint Vincent and the Grenadines,North America,Caribbean
227,Venezuela,South America,South America
228,"Virgin Islands, British",North America,Caribbean
229,"Virgin Islands, u.S.",North America,Caribbean
230,Vietnam,Asia,Southeast Asia
231,Vanuatu,Oceania,Melanesia
232,Wallis and Futuna,Oceania,Polynesia
233,Samoa,Oceania,Polynesia
234,Yemen,Asia,Middle East
235,Yugoslavia,Europe,Southern Europe
236,South Africa,Africa,Southern Africa
237,Zambia,Africa,Eastern Africa
238,Zimbabwe,Africa,Eastern Africa
